=========================================================================
ผลการตรวจสอบข้อมูลรหัสใบสั่งซื้อ (WO/PO) จาก check.txt เทียบกับฐานข้อมูลระบบ
วันที่ตรวจสอบ: 10/07/2026 20:48:43
=========================================================================
จำนวนรายการทั้งหมดใน check.txt: 245 รายการ
พบในฐานข้อมูล (มีข้อมูลตรงกัน): 152 รายการ
ไม่พบในฐานข้อมูล (ไม่มีข้อมูลในระบบ): 93 รายการ
=========================================================================

--- 1. รายการที่ไม่พบในฐานข้อมูล (Missing in Data) ---
001. ใบสั่งซื้อ: WO24100150   | รหัสกลุ่ม: LAA00    | รายการ: ชุดกวนเม็ด ต้นแบบ KC
014. ใบสั่งซื้อ: WO26020292   | รหัสกลุ่ม: LCB00    | รายการ: ลูกเบี้ยวรูปพุทรา 6*10 นิ้ว (KC)   ต้องการ 1/4/69
015. ใบสั่งซื้อ: WO26030158   | รหัสกลุ่ม: LBB00    | รายการ: ขากดข้อตัวรับ ซ้าย-ขวา CTXD15.8
016. ใบสั่งซื้อ: WO26030156   | รหัสกลุ่ม: LBB00    | รายการ: ตุ๊กตาขากดข้อซ้าย-ขวา ZRS12.6 เเละ ZRS15.8
017. ใบสั่งซื้อ: WO26030127   | รหัสกลุ่ม: LBE00    | รายการ: สลักลูกหมาก ,สลักลูกปืนและสลักลูกปืนส่งทิ้ง
018. ใบสั่งซื้อ: WO26030128   | รหัสกลุ่ม: LBE00    | รายการ: สลักลูกหมากประคลองฉากตะขอล่าง ZRS12.6
019. ใบสั่งซื้อ: WO26030191   | รหัสกลุ่ม: LBB00    | รายการ: ชุดเพลาลูกกลิ้งหน้าเครื่อง ZRS12.6
020. ใบสั่งซื้อ: WO26030165   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L6)
021. ใบสั่งซื้อ: WO26030169   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L12)
022. ใบสั่งซื้อ: WO26030170   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L14)
023. ใบสั่งซื้อ: WO26030171   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L15)
024. ใบสั่งซื้อ: WO26030172   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L23)
025. ใบสั่งซื้อ: WO26030173   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L25)
026. ใบสั่งซื้อ: WO26030174   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L29)
027. ใบสั่งซื้อ: WO26030175   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L30)
028. ใบสั่งซื้อ: WO26030176   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L31)
029. ใบสั่งซื้อ: WO26030178   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L33)
030. ใบสั่งซื้อ: WO26030179   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L35)
031. ใบสั่งซื้อ: WO26030180   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L36)
032. ใบสั่งซื้อ: WO26030181   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L37)
033. ใบสั่งซื้อ: WO26030182   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L38)
034. ใบสั่งซื้อ: WO26030183   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L10)
035. ใบสั่งซื้อ: WO26030184   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L16)
036. ใบสั่งซื้อ: WO26030091   | รหัสกลุ่ม: LCB00    | รายการ: ชุดควบคุมการทำงานแม่เหล็กหยุดลูกกลิ้งสายพาน
037. ใบสั่งซื้อ: WO26030209   | รหัสกลุ่ม: LBE00    | รายการ: สลักลูกปืนส่งทิ้งราวตะขอล่าง และเพลาประคองราวตะขอล่าง CTXD14.2
038. ใบสั่งซื้อ: WO26030319   | รหัสกลุ่ม: LBB00    | รายการ: แขนโยกส่ายตะขอบน ST22.0
039. ใบสั่งซื้อ: WO26030337   | รหัสกลุ่ม: LBB00    | รายการ: สลักลูกปืนขากดข้อและสลักยืดหน้าแปลนกดข้อ ZRS12.6
040. ใบสั่งซื้อ: WO26030339   | รหัสกลุ่ม: LBB00    | รายการ: สลักลูกหมากชิดห่างรังผึ้ง ZRS12.6*240*550
041. ใบสั่งซื้อ: WO25120139   | รหัสกลุ่ม: LFB00    | รายการ: พลูเล่ย์ประคองสลิง และสลักยึดพลูเล่ย์ดึงสลิง
042. ใบสั่งซื้อ: WO26020109   | รหัสกลุ่ม: LFB00    | รายการ: เฟืองปิด - เปิดฝาถัง
043. ใบสั่งซื้อ: WO26030315   | รหัสกลุ่ม: LBB00    | รายการ: เฟืองตะขอหมุนตัวยาว - ตัวสั้น SK22.0
044. ใบสั่งซื้อ: WO26030254   | รหัสกลุ่ม: LBE00    | รายการ: ติดตั้งเซนเซอร์วัดอุณหภูมิมิเตอร์กำลัง L25
045. ใบสั่งซื้อ: WO26030421   | รหัสกลุ่ม: LBB00    | รายการ: เฟืองตะขอหมุน ตัวยาว- ตัวยาว SK22.0
046. ใบสั่งซื้อ: WO26040031   | รหัสกลุ่ม: LBE00    | รายการ: เปลี่ยนแผ่นฟันขาว - ตีปลอกแม่ตะขอ ZRS17.2x300x400
047. ใบสั่งซื้อ: WO26040087   | รหัสกลุ่ม: LBE00    | รายการ: แผ่นรองหัวกระสวย - แผ่นรองหางกระสวย ZRS9.5(กระสวย (STL)
048. ใบสั่งซื้อ: WO26040088   | รหัสกลุ่ม: LAA60    | รายการ: ลูกกลิ้งอ่างน้ำร้อน  ท่อไออ่างน้ำร้อน  ปลอกล็อคแกนมอเตอร์ทอร์คบน- ล่าง
049. ใบสั่งซื้อ: WO26040123   | รหัสกลุ่ม: LBE00    | รายการ: แผ่นประคองหางกระสวย - แผ่นประคองหัวกระสวย ZRS11.0
050. ใบสั่งซื้อ: WO26040013   | รหัสกลุ่ม: LAA00    | รายการ: พินเกจหัวแฝด ขนาด 0.8x2,1.0x2และ 1.2x2
051. ใบสั่งซื้อ: WO26040206   | รหัสกลุ่ม: LBE00    | รายการ: ปลอกล๊อคสลิปลูกเบี้ยวเฟืองใหญ่ ZRS12.6   ต้องการ  21/4/2026 เวลา 16.00 น.
052. ใบสั่งซื้อ: WO26040234   | รหัสกลุ่ม: LBE00    | รายการ: เปลี่ยนดุมแขนยึดฉากราวตะขอล่าง+ฝาประกบ CTXD19.0 (งานส่งคืนทอ C)
053. ใบสั่งซื้อ: WO26040190   | รหัสกลุ่ม: LBB00    | รายการ: ชุดอุปกรณ์วัดความยาวอีแปะพร้อมฐานรองและระบบไฟฟ้า
054. ใบสั่งซื้อ: WO26040225   | รหัสกลุ่ม: LBE00    | รายการ: ตุ๊กตาส่ายร้อยหู CTXD14.2  ตัวตรง-ตัวซ้าย-ตัวขวา
055. ใบสั่งซื้อ: WO26040235   | รหัสกลุ่ม: LBE00    | รายการ: เพลาลูกหมากปรับขาประคองฉากตะขอล่าง CTXD15.8
056. ใบสั่งซื้อ: WO26040277   | รหัสกลุ่ม: LBE00    | รายการ: ซ่อมหัวเพลาด้ายใหญ่ ZRS12.6 ปลายดุมยาว 230 มิล
057. ใบสั่งซื้อ: WO26040278   | รหัสกลุ่ม: LBB00    | รายการ: ขาส่งทิ้งตะขอล่าง ZRS15.8   (ซ้าย-ขวา)
058. ใบสั่งซื้อ: WO26040122   | รหัสกลุ่ม: LBB00    | รายการ: เฟืองขับชิดห่างรังผึ้งZRS12.6  ตัวขับและตัวตาม
059. ใบสั่งซื้อ: WO26040202   | รหัสกลุ่ม: LBE00    | รายการ: เพลากำลังยาว ZRS12.6 ซ้าย-กลาง-ขวาและปลอกต่อเพลา
060. ใบสั่งซื้อ: WO26050006   | รหัสกลุ่ม: LBB00    | รายการ: ซ่อมเฟืองลูกเบี้ยวใหญ่ ZRS17.2
061. ใบสั่งซื้อ: WO26050039   | รหัสกลุ่ม: LBB00    | รายการ: ขาเข้า-ออกตะขอล่างZRS17.2  ซ้าย-ขวา
062. ใบสั่งซื้อ: WO26050069   | รหัสกลุ่ม: LBE00    | รายการ: ลิ่มอัดมีจมูก 18 มิล
063. ใบสั่งซื้อ: WO26050090   | รหัสกลุ่ม: LBE00    | รายการ: สลักสะพานเข้า-ออกตะขอล่าง ZRS12.6
064. ใบสั่งซื้อ: WO26050089   | รหัสกลุ่ม: LBE00    | รายการ: คัปปลิ้งโซ่เพลาด้ายใหญ่ เกียร์ทด Out putและคัปปลิ้งโซ่หัวเพลาด้ายใหญ่
065. ใบสั่งซื้อ: WO26050087   | รหัสกลุ่ม: LBB00    | รายการ: ชุดเฟืองดึงอวนหลังเครื่องZRS12.6 เพลา40มิล ร่องลิ่ม11มิล
066. ใบสั่งซื้อ: WO26050083   | รหัสกลุ่ม: LBE00    | รายการ: ลิ่ม 12 มิล ลิ่ม 14 มิล ลิ่มอัดมีจมูก 18 มิล และลิ่มมีจมูก 20*12.5-95
067. ใบสั่งซื้อ: WO26050019   | รหัสกลุ่ม: LAA60    | รายการ: คอท่อไออ่างน้ำร้อน KC และปลอกล็อคแกนมอเตอร์ทอร์คบน-ล่าง ต้องการ 20/5/69
068. ใบสั่งซื้อ: WO26050070   | รหัสกลุ่ม: LAA60    | รายการ: ลูกกลิ้งอ่างน้ำร้อนตัวหน้าชุดยาวขนาด6นิ้ว ต้องการ 23/5/69
069. ใบสั่งซื้อ: WO26050145   | รหัสกลุ่ม: LAA60    | รายการ: แก้ไขเพลาแยกเส้นใยอ่างน้ำเย็น 100 ร่อง
070. ใบสั่งซื้อ: WO26040181   | รหัสกลุ่ม: LA000    | รายการ: ลูกกลิ้งอ่างน้ำร้อนตัวหน้าชุดยาวขนาด6นิ้ว
071. ใบสั่งซื้อ: WO26050082   | รหัสกลุ่ม: LBE00    | รายการ: แผ่นหวีแหวกด้าย ZRS15.8
072. ใบสั่งซื้อ: WO26050168   | รหัสกลุ่ม: LBB00    | รายการ: ซ่อมหัวเพลาด้ายใหญ่ CTXD19.0
073. ใบสั่งซื้อ: WO26050191   | รหัสกลุ่ม: LAA60    | รายการ: เพลาแยกเส้นใยอ่างน้ำเย็น 80 ร่อง
074. ใบสั่งซื้อ: WO26050301   | รหัสกลุ่ม: LAA00    | รายการ: เฟืองเกียร์ปั้ม 50cc (ตัวยาว)-(ตัวสั้น)
075. ใบสั่งซื้อ: WO26050190   | รหัสกลุ่ม: LBB00    | รายการ: แผ่นรองหัว- รองหาง กระสวย(กระสวยสแตนเลส) ZRS12.6
076. ใบสั่งซื้อ: WO26060051   | รหัสกลุ่ม: LBE00    | รายการ: แผ่นปิดแผ่นหวีแหวก ZRS15.8
077. ใบสั่งซื้อ: WO26060052   | รหัสกลุ่ม: LBE00    | รายการ: เฟืองสะพานเพลาดึงอวนหลังเครื่อง ZRS12.6 จำ
078. ใบสั่งซื้อ: WO26060117   | รหัสกลุ่ม: LBB00    | รายการ: ชุดโช็คสปริงกันหย่อน ZRS12.6
079. ใบสั่งซื้อ: WO26060107   | รหัสกลุ่ม: LBE00    | รายการ: สลักล๊อคขาเพลาทิ้ง ZRS 12.6
080. ใบสั่งซื้อ: WO26060108   | รหัสกลุ่ม: LBE00    | รายการ: สลักล๊อคขาเพลาทิ้ง ZRS 12.6
081. ใบสั่งซื้อ: WO26050196   | รหัสกลุ่ม: LCB00    | รายการ: แกนแขนกรอเครื่องกรอหลอด  ต้องการ  1/7/69
082. ใบสั่งซื้อ: WO26060194   | รหัสกลุ่ม: LBE00    | รายการ: ตัดต่อแขนส่ายซ้ายขขวาตะขอบน ST22.0
083. ใบสั่งซื้อ: WO26060185   | รหัสกลุ่ม: LBB00    | รายการ: ลิ่มมีจมูก 18 มิล
084. ใบสั่งซื้อ: WO26060187   | รหัสกลุ่ม: LBB00    | รายการ: สลักลูกปืนกดข้อ+ล้อพลาสติก รุ่นST14.0
085. ใบสั่งซื้อ: WO26060248   | รหัสกลุ่ม: LBB00    | รายการ: ปลอกทองเหลือง  ZRS12.6
086. ใบสั่งซื้อ: WO26060228   | รหัสกลุ่ม: LBB00    | รายการ: บูทประครองเพลาฉากตะขอล่างZRS12.6
087. ใบสั่งซื้อ: WO26060245   | รหัสกลุ่ม: LBB00    | รายการ: ชุดประครองฉากตะขอล่าง(ต้นแบบL46)
088. ใบสั่งซื้อ: WO26010221   | รหัสกลุ่ม: LBE00    | รายการ: สลักหัวสะพานส่งทิ้ง สลักขาส่งทิ้ง ล้อพลาสติกขาเตะข้อ  ZRS12.6และCTXS14.2
089. ใบสั่งซื้อ: WO26010100   | รหัสกลุ่ม: LBE00    | รายการ: สลักลูกปืนเข้าออก+ขาประครอง CTXS14.2
090. ใบสั่งซื้อ: WO26010104   | รหัสกลุ่ม: LBE00    | รายการ: สลักลูกหมากขาโยกรางกระสวย CTXS14.2
091. ใบสั่งซื้อ: WO26030167   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L9)
092. ใบสั่งซื้อ: WO26030168   | รหัสกลุ่ม: LBB00    | รายการ: ตู้ PLC เครื่องทอ (L32)
093. ใบสั่งซื้อ: WO26030136   | รหัสกลุ่ม: LBB00    | รายการ: แผ่นฟันขาว ZRS17.2

--- 2. รายการที่พบในฐานข้อมูล (Matched in Data) ---
001. ใบสั่งซื้อ: WO26010074   | รหัสกลุ่ม: LCD00    | รายการ: แผงเครื่องตีด้าย 10 นิ้ว T18    ต้องการ 10/4/69
002. ใบสั่งซื้อ: WO26020129   | รหัสกลุ่ม: LCD00    | รายการ: เพลาขับด้ายท้ายเครื่อง T50 และฉากยึดมอเตอร์และขายึดอะลูมิเนียมโปร์ไฟล์
003. ใบสั่งซื้อ: WO26020055   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 40 ฟัน M2.5 (T9-10,13-14)  ต้องการ 1/4/69
004. ใบสั่งซื้อ: WO26020057   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 34 ฟัน M2.5 T9-10    ต้องการ 1/4/69
005. ใบสั่งซื้อ: WO26020059   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 45 ฟัน M2.5(T9-10,T13-14)  ต้องการ 1/4/69
006. ใบสั่งซื้อ: WO26020061   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 46 ฟัน T9-10  ต้องการ 1/4/69
007. ใบสั่งซื้อ: WO26020063   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 48 ฟัน M2.5 (T9-10-13-14)  ต้องการ 1/4/69
008. ใบสั่งซื้อ: WO26020065   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้ายตัวนอก T23 (6.5 )  ต้องการ 1/4/69
009. ใบสั่งซื้อ: WO26020036   | รหัสกลุ่ม: LCD00    | รายการ: เพลาพูลเล่ย์มอเตอร์ท้ายเครื่อง T13-14   ต้องการ 1/4/69
010. ใบสั่งซื้อ: WO26020044   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองโซ่ #50*17 ฟัน   ต้องการ 1/4/69
011. ใบสั่งซื้อ: WO26020049   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับเพลาท้ายเครื่อง T11  ต้องการ 1/4/69
012. ใบสั่งซื้อ: WO26020067   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 60 ฟัน T9-10,T13-14    ต้องการ 1/4/69
013. ใบสั่งซื้อ: WO26020051   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 70 ฟัน T1-T8   ต้องการ 1/4/69
014. ใบสั่งซื้อ: WO26020274   | รหัสกลุ่ม: LCD00    | รายการ: กล่อง REALTIME แปลงสัญญาณ RS-485 TO Com Port  ต้องการ 13/3/69
015. ใบสั่งซื้อ: WO26020033   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาแกนเฟือง A T43-44 ต้องการ 1/4/69
016. ใบสั่งซื้อ: WO26030208   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาเพลาขับด้าย T18   ต้องการ 10/4/69
017. ใบสั่งซื้อ: WO26030287   | รหัสกลุ่ม: LCD00    | รายการ: เจียร์ผิวลูกกลิ้งทับใย T60  (เจียร์ออก 1 mm.)  ต้องการ 1/4/69
018. ใบสั่งซื้อ: WO26030285   | รหัสกลุ่ม: LCD00    | รายการ: แขนเซรามิครวบใย T11  ต้องการ 1/5/69
019. ใบสั่งซื้อ: WO26030286   | รหัสกลุ่ม: LCD00    | รายการ: แขนเซรามิครวบใย T48  ต้องการ 1/5/69
020. ใบสั่งซื้อ: WO26030323   | รหัสกลุ่ม: LCD00    | รายการ: ชุดยกลูกกลิ้ง เครื่อง 6 นิ้ว(120แกน) T44  ต้องการ 1/5/69
021. ใบสั่งซื้อ: WO26010013   | รหัสกลุ่ม: LCD00    | รายการ: ชุดยกลูกกลิ้ง เครื่อง 6 นิ้ว(100แกน) T15    ต้องการ 1/5/69
022. ใบสั่งซื้อ: WO26030138   | รหัสกลุ่ม: LCD00    | รายการ: ชุดตึงใย พร้อม ราวยึด T58    ต้องการ 1/85/69
023. ใบสั่งซื้อ: WO26030221   | รหัสกลุ่ม: LCD00    | รายการ: ชุดตึงใย พร้อม ราวยึด T61  5 นิ้วครึ่ง  ต้องการ 1/5/69
024. ใบสั่งซื้อ: WO26030229   | รหัสกลุ่ม: LCD00    | รายการ: ชุดตึงใย พร้อม ราวยึด T62 5 นิ้วครึ่ง  ต้องการ 1/5/69
025. ใบสั่งซื้อ: WO26030212   | รหัสกลุ่ม: LCD00    | รายการ: ชุดตึงใย พร้อม ราวยึด T57  5 นิ้วครึ่ง  ต้องการ 1/5/69
026. ใบสั่งซื้อ: WO26010020   | รหัสกลุ่ม: LCD00    | รายการ: ชุดยกลูกกลิ้ง T45  ต้องการ 1/5/69
027. ใบสั่งซื้อ: WO26010015   | รหัสกลุ่ม: LCD00    | รายการ: ขายกลูกกลิ้งเครื่องตีด้าย T51  ต้องการ  1/5/69
028. ใบสั่งซื้อ: WO26030325   | รหัสกลุ่ม: LCD00    | รายการ: ลิ่มเหล็กประกบเพลาขับด้าย ต้องการ 10/4/69
029. ใบสั่งซื้อ: WO26040039   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 45 ฟัน M3 (T1-8)  ต้องการ 1/5/69
030. ใบสั่งซื้อ: WO26040040   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 70 ฟัน T1-T8   ต้องการ 1/5/69
031. ใบสั่งซื้อ: WO26040042   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 40 ฟัน M2.5 (T9-10,13-14)   ต้องการ 1/5/69
032. ใบสั่งซื้อ: WO26040044   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 41 ฟัน t9-10  ต้องการ 1/5/69
033. ใบสั่งซื้อ: WO26040046   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 44 ฟัน M2.5 T9-10,T13-14   ต้องการ 1/5/69
034. ใบสั่งซื้อ: WO26040048   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 45 ฟัน M2.5(T9-10,T13-14)  ต้องการ 1/5/69
035. ใบสั่งซื้อ: WO26040050   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 47 ฟัน M2.5 (T9-10-13-14)    ต้องการ 1/5/69
036. ใบสั่งซื้อ: WO26040052   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 66 ฟัน T9-10,T13-14 (M2.5)  ต้องการ 1/5/69
037. ใบสั่งซื้อ: WO26040054   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองตีด้าย 70 ฟันT9-10,T13-14(M2.5)  ต้องการ 1/5/69
038. ใบสั่งซื้อ: WO26040056   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 34 ฟัน M2.5 T21-23    ต้องการ 1/5/69
039. ใบสั่งซื้อ: WO26040060   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 53 ฟัน T21-25  ต้องการ 1/5/69
040. ใบสั่งซื้อ: WO26040061   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 58 ฟัน T21-22-23    ต้องการ 1/5/69
041. ใบสั่งซื้อ: WO26040063   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 63 ฟัน T21-25 (รูสวมเพลา25มิล ลิ่ม7มิล)  ต้องการ 1/5/69
042. ใบสั่งซื้อ: WO26040065   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 71 ฟัน M2.5(T21-25)   ต้องการ 1/5/69
043. ใบสั่งซื้อ: WO26040067   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 40 ฟัน M2.5 t11-12-15-18   ต้องการ 1/5/69
044. ใบสั่งซื้อ: WO26040069   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 44 ฟัน T11-12   ต้องการ 1/5/69
045. ใบสั่งซื้อ: WO26040071   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 45 ฟัน   ต้องการ 1/5/69
046. ใบสั่งซื้อ: WO26040072   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 49 ฟัน T11-12   ต้องการ 1/5/69
047. ใบสั่งซื้อ: WO26040073   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 60 ฟัน T11-12  ต้องการ 1/5/69
048. ใบสั่งซื้อ: WO26040095   | รหัสกลุ่ม: LCD00    | รายการ: พลูเล่ย์ขับสายพานสปิ้นเดิ้ล 12"   ต้องการ 1/5/69
049. ใบสั่งซื้อ: WO26040096   | รหัสกลุ่ม: LCD00    | รายการ: พลูเล่ย์สายพานสปรินเดิ้ล 10 นิ้ว เพลา45 มม. ต้องการ 1/5/69
050. ใบสั่งซื้อ: WO26040109   | รหัสกลุ่ม: LCD00    | รายการ: ลูกกลิ้งทับใยรุ่นเครื่อง T22, T23   ต้องการ 1/5/69
051. ใบสั่งซื้อ: WO26040130   | รหัสกลุ่ม: LCD00    | รายการ: ตัวครอบวแหวน 4.5 นิ้ว  ต้องการ 1/5/69
052. ใบสั่งซื้อ: WO26040132   | รหัสกลุ่ม: LCD00    | รายการ: ตัวครอบวงแหวน 6 นิ้ว T43,44,45   ต้องการ 1/5/69
053. ใบสั่งซื้อ: WO26040134   | รหัสกลุ่ม: LCD00    | รายการ: พลูเล่ย์ขับสายพานสปิ้นเดิ้ล 12"    ต้องการ 1/5/69
054. ใบสั่งซื้อ: WO26040136   | รหัสกลุ่ม: LCD00    | รายการ: พลูเล่ย์สายพานสปรินเดิ้ล 10 นิ้ว เพลา45 มม.  ต้องการ 1/5/69
055. ใบสั่งซื้อ: WO26040032   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาคานวงแหวนหัว-ท้ายเครื่อง  ต้องการ  1/4/69
056. ใบสั่งซื้อ: WO26040037   | รหัสกลุ่ม: LCD00    | รายการ: สลักล้อดึงสายพาน (กลุ่มวงแหวน)  ต้องการ 1/5/69
057. ใบสั่งซื้อ: WO26040076   | รหัสกลุ่ม: LCD00    | รายการ: พลูเล่ย์สายพาน T3-T9-T10 (แบบผ่า)   ต้องการ 1/5/69
058. ใบสั่งซื้อ: WO26040081   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตายึดล้อตึงสายพาน  ต้องการ 1/5/69
059. ใบสั่งซื้อ: WO26040092   | รหัสกลุ่ม: LCD00    | รายการ: ตัวครอบวแหวน 4.5 นิ้ว  ต้องการ 1/5/69
060. ใบสั่งซื้อ: WO26040094   | รหัสกลุ่ม: LCD00    | รายการ: ตัวครอบวงแหวน 6 นิ้ว T43,44,45  ต้องการ 1/5/69
061. ใบสั่งซื้อ: WO26040098   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาลูกปืน T1-10   ต้องการ 1/5/69
062. ใบสั่งซื้อ: WO26040099   | รหัสกลุ่ม: LCD00    | รายการ: แหวนรองเฟืองหัวเครื่อง T4-5  ต้องการ 1/5/69
063. ใบสั่งซื้อ: WO26040189   | รหัสกลุ่ม: LCD00    | รายการ: สาย LAN เชื่อมจอกับ PLC REAL TIME ตีด้าย
064. ใบสั่งซื้อ: WO26030420   | รหัสกลุ่ม: LCD00    | รายการ: ลูกกลิ้งทับใย T50-51   ต้องการ 1/5/69
065. ใบสั่งซื้อ: WO26040100   | รหัสกลุ่ม: LCD00    | รายการ: ล้อดึงสายพาน2for1   ต้องการ 1/5/69
066. ใบสั่งซื้อ: WO26040150   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาคานวงแหวนกลางเครื่อง  ต้องการ 1/4/69
